Comment,Designator,Footprint,LCSC Part #
0.5R,R12,R0603,
0R,R4 R25,R1206,
1N4148,D1,SOD323-R,C94001
1k,R11 R14 R15 R21 R22,R0402,
2.2uH,L1,L5.4X5.2,C351096
2.2uH,L2,L6.6X7,C167218
2S bat with BMS,2S_BAT_WITH_BMS,S2B-PH-SM4,C47647
3.3k,R23,R0402,
4.7k,R16 R17,R0402,
4.7uF,C24,C0603,
5.1k,R13 R18 R19,R0402,
8.2nF,C9,C0603,
10k,R1 R2 R3,R0402,
10uF,C23 C25 C27 C29 C36 C37,C0603,
10uF/10V,C5,C0603,C19666
10uF/16,C4,C0603,
13k,R10,R0402,
20k,R6,R0402,
22uF,C10,C0603,
47k,R5 R27,R0402,
47uF,C2,C0805,
51k,R20 R24,R0402,
60k,R28,R0603,
91k,R7,R0402,
100k,R8,R0402,
100nF,C1 C3,C0603,
100nF,C6 C8 C11 C12,C0402,
100nF,C13 C14 C15 C16 C17 C20 C21,C0603,
100nF,C28,C0402,
100nF,C31 C32 C33 C35,C0603,
100uF,C7 C19,C1206,
100uF,C22,C0805,C141660
100uF,C26 C40,C1206,
130k,R9,R0402,
220uF/16V 5-20m?,C30 C34 C38 C39 C41,UD-6 3X7 7_NICHICON,C4747975
330pF,C18,C0402,
CH9102F,IC3,QFN24-4X4,
DMG2305UX,Q6,MICRO3,C144153
ESP32-WROOM-32E,IC2,ESP32WROOM32E,C701343
FUET-5020,SG1,FUET-5020,C391029
GREEN,DONE POWER,CHIPLED_0402,C130722
IP2326,CHARGER,QFN24-4X4,C5441281
JST-SH-3P,J4,1X03_1MM_RA_VERT,C160389
JST-SH-4P,J3,1X04_1MM_RA_VERT,C371588
JST-SH-6P,J1,1X06_1MM_RA_VERT,C145963
JST-XH-2/90SMD,M1 M2 M3 M4,S2B-XH-SM4,
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
LMR14050DDAR,BUCK,SO08-EPAD,C155484
MMDT3904,Q1,SC70-6,C268586
MMDT5401,Q5,SC70-6,C54540
PCA9685PW 118,IC1,TSSOP28,C2678753
RED,CHARGING,CHIPLED_0402,
S9013,Q4,SOT23-BEC,C52801
SK6812-EC20,LED_IO4,SK6812EC20,
SS1045-SMB,D4,SMB,C2903947
TB6612FNG,IC6 IC7,SSOP24,
TS-1088R-02026,RESET,TS1088R02026,C455280
USB-C_GT-USB-7010B,J2,G-SWITCH_GT-USB-7010B,C2837092
XC6220B331PR-G,LDO,XC6220B331PRG,
SS-12D10L5,S1,SS-12D10L5,C319012
