Designator,Mid X,Mid Y,Layer,Rotation
2S_BAT_WITH_BMS, 0.64,12.70,Top,90.0
BUCK,24.38,-11.43,Top,0.0
C1,72.39,11.43,Top,0.0
C2,72.26,13.46,Top,0.0
C3,19.43,10.92,Top,270.0
C4,54.05,16.23,Top,180.0
C5,56.52,18.80,Top,180.0
C6,73.66,18.41,Top,180.0
C7,25.65, 5.84,Top,270.0
C8,28.07,-8.13,Top,180.0
C9,24.64,-6.60,Top,180.0
C10,63.07,-16.23,Top,0.0
C11,62.61,-14.68,Top,0.0
C12,60.58,-17.81,Top,0.0
C13,19.69,-14.10,Top,0.0
C14,42.29,14.10,Top,180.0
C15,31.12,14.10,Top,180.0
C16,31.12,-14.10,Top,0.0
C17,42.29,-14.10,Top,0.0
C18,25.78,-4.06,Top,0.0
C19,14.10,-12.95,Top,0.0
C20,31.24,-3.81,Top,270.0
C21,44.32,-7.24,Top,270.0
C22,30.78, 3.15,Top,270.0
C23,19.56, 6.60,Top,270.0
C24,30.78, 0.00,Top,90.0
C25,21.59, 6.60,Top,270.0
C26,14.10,-10.79,Top,0.0
C27,23.62, 6.60,Top,270.0
C28,52.83, 0.00,Top,270.0
C29,19.43,14.73,Top,90.0
C30,48.64,-7.62,Top,90.0
C31,32.84, 0.00,Top,90.0
C32,13.34,-23.50,Top,90.0
C33,13.34,23.50,Top,90.0
C34,48.64, 7.62,Top,270.0
C35,44.32, 7.24,Top,90.0
C36,42.29, 7.24,Top,90.0
C37,42.29,-7.24,Top,270.0
C38, 8.89,-22.48,Top,90.0
C39, 8.89,22.48,Top,270.0
C40,22.35,-16.26,Top,180.0
C41, 7.62,-0.64,Top,0.0
CHARGER,22.99,11.43,Top,180.0
CHARGING,26.29,15.24,Top,90.0
D1,71.12,-19.05,Top,180.0
D4,19.81,-9.02,Top,270.0
D8,65.02,-24.77,Top,90.0
D9,53.09,-24.77,Top,90.0
D10,53.09,-21.21,Top,90.0
DONE,27.43,15.24,Top,90.0
IC1,38.73, 0.00,Top,180.0
IC2,64.77, 0.00,Top,270.0
IC3,59.18,-14.73,Top,90.0
IC6,36.83, 8.89,Top,180.0
IC7,36.83,-8.89,Top,0.0
J1,56.52,26.04,Top,180.0
J2,59.05,-26.67,Top,0.0
J3,64.77,26.04,Top,180.0
J4,71.76,26.04,Top,180.0
L1,14.73,-6.86,Top,180.0
L2,14.86, 9.65,Top,270.0
LDO,58.93,15.24,Top,270.0
LED_IO4,50.16, 0.00,Top,90.0
M1,41.91,26.04,Top,0.0
M2,31.12,26.04,Top,0.0
M3,31.12,-26.04,Top,180.0
M4,41.91,-26.04,Top,180.0
POWER, 2.79,-20.07,Top,90.0
Q1,54.61,-14.61,Top,270.0
Q4,71.12,-15.88,Top,180.0
Q5,15.24, 0.00,Top,180.0
Q6,18.41, 0.00,Top,270.0
R1,54.61,-16.51,Top,180.0
R2,73.66,19.69,Top,0.0
R3,54.48,-12.70,Top,180.0
R4, 7.49, 3.81,Top,180.0
R5,14.73,-1.91,Top,0.0
R6,27.56,-11.56,Top,90.0
R7,25.78,-3.05,Top,0.0
R8,28.07,-6.10,Top,180.0
R9,28.07,-7.11,Top,0.0
R10,25.78,-5.08,Top,180.0
R11,73.53,-15.24,Top,270.0
R12,17.40,14.73,Top,90.0
R13,14.73,15.37,Top,270.0
R14,24.26,15.24,Top,270.0
R15,23.11,15.24,Top,270.0
R16,64.77,18.29,Top,0.0
R17,64.77,19.30,Top,0.0
R18,51.69,-20.57,Top,90.0
R19,65.02,-20.96,Top,270.0
R20,15.75,15.37,Top,90.0
R21,26.67,13.08,Top,180.0
R22,26.67,12.07,Top,180.0
R23, 1.40,-20.07,Top,270.0
R24,26.67,11.05,Top,180.0
R25, 7.49, 5.84,Top,180.0
R27,13.97, 1.91,Top,0.0
R28,21.59,15.75,Top,270.0
RESET,78.11,19.05,Top,180.0
S1, 3.81,-16.29,Top,90.0
SG1,71.12,-22.86,Top,180.0
