Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,81.41,26.35,Top,90.0
C1, 9.70,13.84,Top,0.0
C2, 9.88,11.81,Top,0.0
C4,25.63,10.72,Top,90.0
C5,18.14,10.74,Top,90.0
C6,18.49, 2.64,Top,270.0
C7,78.23,18.31,Top,0.0
C8,32.82,13.94,Top,270.0
C9,75.95,40.41,Top,0.0
C10,24.10,45.42,Top,90.0
C11,22.56,44.96,Top,90.0
C12,25.78,42.52,Top,0.0
C13,67.89,36.58,Top,270.0
C14,61.47,41.27,Top,180.0
C15,52.58,41.27,Top,180.0
C16,52.58,11.43,Top,0.0
C17,61.47,11.43,Top,0.0
C18,78.51,45.06,Top,0.0
C19,71.73,49.86,Top,90.0
C20,62.81,19.02,Top,90.0
C21,63.07,27.89,Top,90.0
C22,62.81,34.39,Top,270.0
C24,47.65,26.67,Top,270.0
C25,29.16,12.29,Top,180.0
C26,69.70,49.86,Top,90.0
C27,75.79,16.21,Top,180.0
C28,73.74,15.09,Top,270.0
C29,67.69,15.67,Top,270.0
D1,37.21,38.99,Top,90.0
D4,75.26,44.58,Top,90.0
D5,74.83,12.57,Top,0.0
F1,29.21, 9.86,Top,0.0
IC1,41.73,26.31,Top,90.0
IC2,15.88,26.35,Top,0.0
IC3,22.23,41.27,Top,90.0
IC4,21.79,10.74,Top,180.0
IC5,71.37,36.60,Top,0.0
IC6,57.02,33.02,Top,180.0
IC7,57.02,19.69,Top,0.0
J1,30.94, 4.62,Top,90.0
J3,10.34,48.03,Top,180.0
J4,30.48,46.08,Top,180.0
J5,17.73,48.03,Top,180.0
L1,69.90,44.17,Top,90.0
M1,61.47,52.07,Top,180.0
M2,52.58,52.07,Top,180.0
M3,52.58, 0.64,Top,0.0
M4,61.47, 0.64,Top,0.0
ON/OFF,11.89, 3.56,Top,0.0
POWER,14.94,12.78,Top,90.0
Q1,29.69,27.81,Top,180.0
Q2,68.35,24.94,Top,0.0
Q3,70.71,15.93,Top,0.0
Q4,39.93,39.01,Top,0.0
Q5,69.90, 7.62,Top,0.0
R1,27.81,27.81,Top,90.0
R2,18.49, 4.72,Top,270.0
R3,31.55,27.81,Top,270.0
R4,34.75,44.32,Top,270.0
R5,24.10,48.11,Top,90.0
R6,75.06,33.91,Top,0.0
R7,78.51,44.02,Top,0.0
R8,34.90,13.94,Top,270.0
R9,33.86,13.94,Top,90.0
R10,78.51,42.98,Top,180.0
R11,38.48,36.40,Top,0.0
R12,67.26, 7.04,Top,90.0
R13,67.26, 4.93,Top,90.0
R16,10.82,42.90,Top,0.0
R17,10.82,44.98,Top,0.0
R18,67.41,21.77,Top,270.0
R19,75.79,15.04,Top,180.0
R20,75.79,13.97,Top,180.0
R21,66.14,15.67,Top,90.0
R22,66.14,13.59,Top,90.0
R23,14.94,10.41,Top,90.0
RESET,21.92, 3.68,Top,180.0
SG1,33.40,38.99,Top,90.0
