Designator,Mid X,Mid Y,Layer,Rotation
AUTO_OFF_IO4,78.79,12.37,Top,270.0
BATTERY,96.39,26.35,Top,270.0
C1, 9.70,13.84,Top,0.0
C2, 9.88,11.81,Top,0.0
C3,34.34,42.77,Top,0.0
C4,25.63,10.72,Top,90.0
C5,18.14,10.74,Top,90.0
C6,20.52, 2.64,Top,270.0
C7,83.57,22.45,Top,270.0
C8,32.61, 3.30,Top,0.0
C9,84.56,37.69,Top,90.0
C10,24.10,45.42,Top,90.0
C11,22.56,44.96,Top,90.0
C12,25.78,42.52,Top,0.0
C13,77.52,32.46,Top,270.0
C14,68.33,41.27,Top,180.0
C15,59.44,41.27,Top,180.0
C16,59.44,11.43,Top,0.0
C17,68.33,11.43,Top,0.0
C18,85.09,43.08,Top,0.0
C19,77.83,46.81,Top,90.0
C20,69.67,19.02,Top,90.0
C21,69.77,24.79,Top,270.0
C22,69.67,34.39,Top,270.0
C24,58.57,26.67,Top,270.0
C25,29.16,12.29,Top,180.0
C26,75.79,46.81,Top,90.0
C27,84.68,17.81,Top,180.0
C28,82.63,16.69,Top,270.0
C29,76.58,16.43,Top,270.0
D4,81.97,41.50,Top,90.0
D5,83.72,14.17,Top,0.0
F1,29.21, 9.86,Top,0.0
IC1,52.65,26.31,Top,180.0
IC2,15.88,26.35,Top,90.0
IC3,22.23,41.27,Top,180.0
IC4,21.79,10.74,Top,180.0
IC5,81.00,32.49,Top,0.0
IC6,63.88,33.02,Top,180.0
IC7,63.88,19.69,Top,0.0
J3,10.79,48.90,Top,0.0
J4,30.48,46.36,Top,180.0
J5,18.41,48.90,Top,0.0
L1,77.52,41.05,Top,90.0
M1,68.33,52.07,Top,0.0
M2,59.44,52.07,Top,0.0
M3,59.44, 0.64,Top,180.0
M4,68.33, 0.64,Top,180.0
ON/OFF,11.89, 3.56,Top,0.0
POWER,81.25, 6.65,Top,0.0
Q1,31.65,26.59,Top,90.0
Q2,72.92,28.04,Top,270.0
Q3,80.54,24.94,Top,0.0
Q4,79.60,16.69,Top,0.0
Q5,36.04,35.43,Top,270.0
Q6,36.04,39.45,Top,90.0
R1,31.65,28.47,Top,0.0
R2,20.52, 4.72,Top,270.0
R3,31.65,24.74,Top,180.0
R4,37.39,48.90,Top,90.0
R5,23.95,48.97,Top,90.0
R6,83.06,27.48,Top,270.0
R7,85.09,42.04,Top,0.0
R8,32.61, 5.38,Top,0.0
R9,32.61, 4.34,Top,180.0
R10,85.09,41.00,Top,180.0
R11,70.76,31.17,Top,90.0
R12,71.81,31.17,Top,90.0
R13,32.89,37.85,Top,270.0
R14,32.89,35.79,Top,90.0
R15,39.14,38.51,Top,0.0
R16,10.82,43.94,Top,0.0
R17,10.82,44.98,Top,0.0
R18,79.60,21.77,Top,270.0
R19,84.68,16.64,Top,180.0
R20,84.68,15.57,Top,180.0
R21,75.03,16.43,Top,90.0
R22,75.03,14.35,Top,90.0
R23,78.89, 6.65,Top,0.0
RESET,24.71, 3.68,Top,180.0
